entity_id_candidate;name_official_candidate;place_rank;place_id;place_name;formatted_address;places_status
vr_033243;weltgewandt. Institut für interkulturelle politische Bildung e. V.;1.0;ChIJ31jTanhLqEcRgdGpPX6tHb8;weltgewandt. Institut für interkulturelle politische Bildung e.V.;Flämingstraße 122, 12689 Berlin-Bezirk Marzahn-Hellersdorf;OK
hrb_237598;Valcom GmbH - Institut für Werte- und Kompetenzmanagement;;;;;ZERO_RESULTS
hrb_016067;IGES Institut GmbH;1.0;ChIJW1k-mNpRqEcR4v9a8T2l2lw;IGES Institut GmbH;Friedrichstraße 180, 10117 Berlin;OK
hrb_060530;Institut Hogan GmbH;1.0;ChIJpXlnHq5PqEcRch9zLF2h2Fc;Craniosacrale Therapie & Körperpsychotherapie Berlin Kreuzberg - Dr. med. Benedikt Hogan;Naturheilpraxis, Blücherstraße 58, 10961 Berlin;OK
hrb_060530;Institut Hogan GmbH;2.0;ChIJ95cAPYtRqEcRioiEmAxa878;Hogan Lovells Cadwalader;Burgstraße 27, 10178 Berlin;OK
nr_101320;GreenSign Institut GmbH;1.0;ChIJwzVT5sRQqEcRLVdhXPKQVN8;GreenSign Institut GmbH;Nürnberger Str. 49, 10789 Berlin;OK
hrb_216838;2B Projektentwicklung GmbH;1.0;ChIJLfimPE7vQ0YR_zDkqxIB3vQ;Hanse Projektentwicklung 2 GmbH;Friedrichstraße 95, 10117 Berlin;OK
hrb_094520;NDC Projektentwicklung GmbH;1.0;ChIJAbhuv-BRqEcR4jFC_YYLcDg;NDC Projektentwicklung GmbH;Neue Promenade 5, 10178 Berlin;OK
hrb_203689;GTP Projektentwicklung GmbH;;;;;ZERO_RESULTS
nr_100191;DJK Blau-Weiss;1.0;ChIJ3fF_yAlRqEcRC-fdcl4mOzk;DJK Blau-Weiss Berlin;Waldenserstraße 20, 10551 Berlin;OK
nr_100191;DJK Blau-Weiss;2.0;ChIJ6W1L0qhQqEcRBwKXeC5P5aA;Tennis-Club 1899 e.V. Blau-Weiss;Waldmeisterstraße 10-20, 14193 Berlin-Bezirk Charlottenburg-Wilmersdorf;OK
nr_100191;DJK Blau-Weiss;3.0;ChIJZ_hjBYJRqEcRB_OaWpn5IiI;die DJK Blau-Weiss;Tegeler Str. 31, 13353 Berlin;OK
